transaction_id,procedure_id,trans_group_id,trans_group_en,procedure_name_en,instance_date,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,month_year,month,season
2-14-2016-162,14,2,Mortgages,Modify Mortgage,2016-02-25,3,Unit,60.0,Flat,Residential,1,Existing Properties,444,Al Hebiah First,SHERLOCK HOUSE 2,,,Motor City,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1 B/R,1,96.43,712500.0,7388.78,,,1.0,1.0,0.0,2016-02,2,Winter
1-102-2023-44208,102,1,Sales,Sell - Pre registration,2023-09-05,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,441,Al Barsha South Fourth,Binghatti Venus,2671.0,Binghatti Venus,Jumeirah Village Circle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,53.61,700000.0,13057.27,,,1.0,1.0,0.0,2023-09,9,Autumn
1-102-2023-2673,102,1,Sales,Sell - Pre registration,2023-01-17,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,507,Al Yelayiss 2,LIVA,2492.0,LIVA,TOWN SQUARE,Dubai Cycling Course,,,1 B/R,1,44.58,625888.0,14039.66,,,1.0,1.0,0.0,2023-01,1,Winter
1-102-2022-44848,102,1,Sales,Sell - Pre registration,2022-12-29,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,526,Business Bay,CHIC TOWER,2460.0,CHIC TOWER,Business Bay,,,,Studio,1,41.79,934000.0,22349.84,,,1.0,1.0,0.0,2022-12,12,Winter
1-102-2023-38596,102,1,Sales,Sell - Pre registration,2023-08-11,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,526,Business Bay,AYKON CITY (2) -TOWER C,1746.0,AYKON CITY 2,,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2 B/R,1,74.93,1451000.0,19364.74,,,1.0,1.0,0.0,2023-08,8,Summer
2-13-2019-884,13,2,Mortgages,Mortgage Registration,2019-02-11,3,Unit,60.0,Flat,Residential,1,Existing Properties,445,Jabal Ali First,VICTORIA RESIDENCY,1739.0,VICTORIA RESIDENCY,Al Furjan,Sports City Swimming Academy,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,3 B/R,1,182.74,1125000.0,6156.29,,,2.0,1.0,0.0,2019-02,2,Winter
1-102-2007-14888,102,1,Sales,Sell - Pre registration,2009-08-19,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,466,Wadi Al Safa 4,WADI TOWER,965.0,WADI TOWER,City Of Arabia,IMG World Adventures,,,2 B/R,1,134.12,1245893.0,9289.39,,,1.0,2.0,0.0,2009-08,8,Summer
1-41-2014-1588,41,1,Sales,Delayed Sell,2014-03-26,4,Villa,,,Residential,1,Existing Properties,463,Wadi Al Safa 7,,1392.0,ARABIAN RANCHES- ROSA COMMUNITY,Arabian Ranches II - ROSA,Motor City,,,,0,770.62,5338888.0,6928.04,,,1.0,1.0,0.0,2014-03,3,Spring
1-102-2023-31248,102,1,Sales,Sell - Pre registration,2023-07-03,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,482,Hadaeq Sheikh Mohammed Bin Rashid,Elvira 1,2536.0,Elvira,DUBAI HILLS,,,,2 B/R,1,102.4,2304888.0,22508.67,,,1.0,1.0,0.0,2023-07,7,Summer
1-11-2009-1375,11,1,Sales,Sell,2009-07-14,4,Villa,,,Commercial,1,Existing Properties,352,Al Thanayah Fourth,,,,Meadows 8,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,,0,1165.38,7200000.0,6178.24,,,1.0,2.0,0.0,2009-07,7,Summer
1-102-2005-4574,102,1,Sales,Sell - Pre registration,2009-02-10,3,Unit,42.0,Office,Commercial,0,Off-Plan Properties,350,Al Thanyah Fifth,ALMAS TOWER,976.0,AL MAS TOWER,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Office,1,74.97,1017400.0,13570.76,,,1.0,1.0,0.0,2009-02,2,Winter
3-9-2022-2198,9,3,Gifts,Grant,2022-07-25,3,Unit,42.0,Office,Commercial,1,Existing Properties,240,Port Saeed,Port Saeed A-1,,,,Dubai International Airport,Deira City Centre,Dubai Mall,Office,1,74.73,982886.0,13152.49,,,1.0,1.0,0.0,2022-07,7,Summer
1-11-2009-200040,11,1,Sales,Sell,2009-01-05,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,Z-04,,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,68.0,370000.0,5441.18,,,1.0,1.0,0.0,2009-01,1,Winter
1-102-2008-5303,102,1,Sales,Sell - Pre registration,2010-01-19,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,522,Hessyan First,MANARA 7,1735.0,BADRA PHASE 1,Badra,Dubai Parks and Resorts,UAE Exchange Metro Station,,3 B/R,1,176.79,1772200.0,10024.32,,,1.0,1.0,0.0,2010-01,1,Winter
1-102-2020-11261,102,1,Sales,Sell - Pre registration,2020-09-14,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,350,Al Thanyah Fifth,Seven City JLT,2065.0,SEVEN CITY JLT,Jumeirah Islands,Burj Al Arab,Damac Properties,Marina Mall,Studio,1,38.58,412555.0,10693.49,,,1.0,1.0,0.0,2020-09,9,Autumn
1-102-2022-22567,102,1,Sales,Sell - Pre registration,2022-08-15,3,Unit,101.0,Hotel Apartment,Hospitality ,0,Off-Plan Properties,526,Business Bay,AYKON CITY-TOWER B,1726.0,AYKON CITY ,,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1 B/R,1,60.04,1370000.0,22818.12,,,1.0,1.0,0.0,2022-08,8,Summer
1-11-2023-81,11,1,Sales,Sell,2023-01-02,3,Unit,60.0,Flat,Residential,1,Existing Properties,526,Business Bay,Capital Bay B,1264.0,CAPITAL BAY B,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2 B/R,1,153.17,1500000.0,9793.04,,,1.0,1.0,0.0,2023-01,1,Winter
2-44-2021-1409,44,2,Mortgages,Mortgage Transfer,2021-01-14,3,Unit,60.0,Flat,Residential,1,Existing Properties,364,Al Wasl,Citywalk Residential Building 17,1781.0,"No.17, No.18a,No.18b and No.19 Citywalk Residential ",City Walk,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,118.81,2114000.0,17793.12,,,1.0,1.0,0.0,2021-01,1,Winter
1-41-2021-7819,41,1,Sales,Delayed Sell,2021-08-04,3,Unit,60.0,Flat,Residential,1,Existing Properties,441,Al Barsha South Fourth,BLOOM TOWERS A,1888.0,Bloom Towers,Jumeirah Village Circle,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1 B/R,1,72.35,805524.0,11133.71,,,1.0,1.0,0.0,2021-08,8,Summer
1-11-2019-3522,11,1,Sales,Sell,2019-04-10,4,Villa,,,Residential,1,Existing Properties,233,Hor Al Anz,,,,,Dubai International Airport,Abu Hail Metro Station,,,0,232.26,4500000.0,19374.84,,,3.0,2.0,0.0,2019-04,4,Spring
1-11-2016-13625,11,1,Sales,Sell,2016-11-17,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,CAYAN TOWER,130.0,CAYAN TOWER,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,2 B/R,1,127.5,2812500.0,22058.82,,,1.0,1.0,0.0,2016-11,11,Autumn
1-102-2021-19012,102,1,Sales,Sell - Pre registration,2021-10-21,3,Unit,101.0,Hotel Apartment,Hospitality ,0,Off-Plan Properties,526,Business Bay,AYKON CITY-TOWER B,1726.0,AYKON CITY ,,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,32.22,500000.0,15518.31,,,1.0,1.0,0.0,2021-10,10,Autumn
1-102-2022-42816,102,1,Sales,Sell - Pre registration,2022-12-21,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,409,Al Barshaa South Third,WELCOME RESIDENCY,2360.0,Welcome Residency,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,124.44,1145239.0,9203.14,,,1.0,1.0,0.0,2022-12,12,Winter
1-102-2017-6130,102,1,Sales,Sell - Pre registration,2017-03-23,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,390,Burj Khalifa,Imperial Avenue,1811.0,Imperial  Avenue,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1 B/R,1,83.52,1602602.0,19188.25,,,1.0,2.0,0.0,2017-03,3,Spring
1-41-2022-1279,41,1,Sales,Delayed Sell,2022-01-24,3,Unit,60.0,Flat,Residential,1,Existing Properties,441,Al Barsha South Fourth,BLOOM HEIGHTS B,1796.0,BLOOM HEIGHTS,Jumeirah Village Circle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,1,103.38,948100.0,9171.02,,,1.0,1.0,0.0,2022-01,1,Winter
2-190-2022-833,190,2,Mortgages,Delayed Mortgage,2022-07-07,4,Villa,4.0,Villa,Residential,1,Existing Properties,467,Wadi Al Safa 5,,2017.0,AMARANTA 2 ,,IMG World Adventures,,,3 B/R,0,168.04,1326000.0,7890.98,,,2.0,1.0,0.0,2022-07,7,Summer
3-9-2022-67,9,3,Gifts,Grant,2022-01-13,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,MAG 214,,,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,1 B/R,1,33.54,290990.0,8675.92,,,1.0,1.0,0.0,2022-01,1,Winter
1-41-2015-3151,41,1,Sales,Delayed Sell,2015-06-17,4,Villa,,,Commercial,1,Existing Properties,445,Jabal Ali First,,1686.0,ALFURJAN PACKAGE 4,Al Furjan,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,,0,229.6,3056000.0,13310.1,,,1.0,1.0,0.0,2015-06,6,Summer
1-102-2015-504,102,1,Sales,Sell - Pre registration,2015-01-13,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,482,Hadaeq Sheikh Mohammed Bin Rashid,MULBERRY II at PARK HEIGHTS Building B1,1489.0,MULBERRY at PARK HEIGHTS,DUBAI HILLS - PARK,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2 B/R,1,126.89,1826888.0,14397.42,,,1.0,1.0,0.0,2015-01,1,Winter
1-11-2018-1398,11,1,Sales,Sell,2018-02-07,3,Unit,60.0,Flat,Residential,1,Existing Properties,464,Wadi Al Safa 2,Mazaya 3,1188.0,QPOINT LIWAN-PLOT R004,Liwan,IMG World Adventures,,,1 B/R,1,57.49,514536.0,8950.01,,,1.0,1.0,0.0,2018-02,2,Winter
1-11-2023-4738,11,1,Sales,Sell,2023-02-20,3,Unit,60.0,Flat,Residential,1,Existing Properties,485,Me'Aisem First,MYKA Residence,2414.0,MYKA Residence,International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,1 B/R,1,85.14,1410000.0,16560.96,,,1.0,1.0,0.0,2023-02,2,Winter
1-11-2022-10473,11,1,Sales,Sell,2022-05-19,4,Villa,,,Residential,1,Existing Properties,335,Nad Al Shiba First,,1341.0,MILLENNIUM ESTATES,,Downtown Dubai,Business Bay Metro Station,Dubai Mall,,0,961.0,10040000.0,10447.45,,,1.0,1.0,0.0,2022-05,5,Spring
1-11-2013-26737,11,1,Sales,Sell,2013-09-10,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,AL GHOZLAN 2,,,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,1 B/R,1,75.38,1080000.0,14327.41,,,1.0,1.0,0.0,2013-09,9,Autumn
1-11-2023-25821,11,1,Sales,Sell,2023-08-15,4,Villa,4.0,Villa,Residential,1,Existing Properties,463,Wadi Al Safa 7,,1390.0,THE SUSTAINABLE CITY,THE SUSTAINABLE CITY,Motor City,,,4 B/R,0,216.91,3800000.0,17518.79,,,1.0,2.0,0.0,2023-08,8,Summer
1-102-2015-7948,102,1,Sales,Sell - Pre registration,2015-08-24,3,Unit,101.0,Hotel Apartment,Hospitality ,0,Off-Plan Properties,410,Palm Jumeirah,OCEANA HOTEL AND APARTMENTS,1644.0,OCEANA HOTEL AND APARTMENTS,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,Studio,1,64.8,2228515.0,34390.66,,,1.0,1.0,0.0,2015-08,8,Summer
1-11-2022-11130,11,1,Sales,Sell,2022-05-25,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,MBL RESIDENCE,1934.0,MBL RESIDENCE,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,124.15,1403155.0,11302.09,,,1.0,1.0,0.0,2022-05,5,Spring
1-102-2023-41334,102,1,Sales,Sell - Pre registration,2023-08-22,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,526,Business Bay,CANAL HEIGHTS,2602.0,CANAL HEIGHTS,Business Bay,,,,Studio,1,42.5,1276000.0,30023.53,,,1.0,1.0,0.0,2023-08,8,Summer
2-110-2017-1032,110,2,Mortgages,Lease to Own Registration,2017-11-08,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,Prime Residence 2,232.0,PRIME RESIDENCY2,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,2 B/R,1,91.23,521250.0,5713.58,521250.0,5714.0,2.0,2.0,2.0,2017-11,11,Autumn
1-102-2022-5586,102,1,Sales,Sell - Pre registration,2022-03-02,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,526,Business Bay,ZADA TOWER,2155.0,ZADA TOWER,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1 B/R,1,48.78,813000.0,16666.67,,,1.0,1.0,0.0,2022-03,3,Spring
1-11-2023-16957,11,1,Sales,Sell,2023-06-01,1,Land,,,Residential,1,Existing Properties,505,Madinat Hind 4,,1794.0,DAMAC HILLS (2) - ALBIZIA ,DAMAC HILLS 2,,,,,0,112.24,880000.0,7840.34,,,1.0,2.0,0.0,2023-06,6,Summer
1-11-2015-14916,11,1,Sales,Sell,2015-11-23,3,Unit,60.0,Flat,Residential,1,Existing Properties,464,Wadi Al Safa 2,Farah tower 1,1217.0,QPOINT LIWAN-PLOT R020,Liwan,IMG World Adventures,,,2 B/R,1,99.04,800000.0,8077.54,,,2.0,1.0,0.0,2015-11,11,Autumn
3-9-2020-597,9,3,Gifts,Grant,2020-03-02,3,Unit,42.0,Office,Commercial,1,Existing Properties,409,Al Barshaa South Third,THE V,,,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,Office,1,276.81,2085688.0,7534.73,,,1.0,16.0,0.0,2020-03,3,Spring
1-102-2022-42142,102,1,Sales,Sell - Pre registration,2022-12-16,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,350,Al Thanyah Fifth,Seven City JLT,2065.0,SEVEN CITY JLT,Jumeirah Islands,Burj Al Arab,Damac Properties,Marina Mall,2 B/R,1,99.65,1170137.0,11742.47,,,1.0,1.0,0.0,2022-12,12,Winter
1-41-2017-5804,41,1,Sales,Delayed Sell,2017-12-06,4,Villa,4.0,Villa,Residential,1,Existing Properties,485,Me'Aisem First,,1947.0,Jumeirah Luxury,Jumeirah Golf Estates,,,,3 B/R,0,177.55,2182808.0,12294.05,,,1.0,1.0,0.0,2017-12,12,Winter
3-9-2022-1416,9,3,Gifts,Grant,2022-05-23,3,Unit,60.0,Flat,Residential,1,Existing Properties,445,Jabal Ali First,J & G  BUILDING 2,1448.0,J&G PLEXS,DMCC-EZ2,Sports City Swimming Academy,Harbour Tower,Marina Mall,Single Room,1,11.33,198547.0,17524.02,,,1.0,1.0,0.0,2022-05,5,Spring
1-41-2021-2684,41,1,Sales,Delayed Sell,2021-03-18,3,Unit,60.0,Flat,Residential,1,Existing Properties,507,Al Yelayiss 2,Parkviews,1836.0,RAWDA APARTMENTS,TOWN SQUARE,Dubai Cycling Course,,,3 B/R,1,282.06,1871888.0,6636.49,,,1.0,2.0,0.0,2021-03,3,Spring
2-13-2016-3091,13,2,Mortgages,Mortgage Registration,2016-04-25,4,Villa,,,Residential,1,Existing Properties,434,Wadi Al Safa 6,,,,Arabian Ranches - Saheel,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,,0,1019.15,3575000.0,3507.83,,,2.0,1.0,0.0,2016-04,4,Spring
2-13-2017-1257,13,2,Mortgages,Mortgage Registration,2017-02-16,4,Villa,,,Residential,1,Existing Properties,300,Al Rashidiya,,,,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,334.45,1634000.0,4885.63,,,1.0,1.0,0.0,2017-02,2,Winter
1-11-2011-11505,11,1,Sales,Sell,2011-07-13,3,Unit,60.0,Flat,Residential,1,Existing Properties,410,Palm Jumeirah,Marina Apartments 6,1297.0,MARINA RESIDENCE,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,2 B/R,1,181.18,1450000.0,8003.09,,,1.0,1.0,0.0,2011-07,7,Summer
1-11-2012-25651,11,1,Sales,Sell,2012-12-25,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,23 MARINA,151.0,23 MARINA,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,200.79,1970343.0,9812.95,,,1.0,1.0,0.0,2012-12,12,Winter
1-133-2016-1349,133,1,Sales,Development Registration,2016-10-31,3,Unit,60.0,Flat,Residential,1,Existing Properties,484,Nadd Hessa,SILICON HEIGHTS2,411.0,SILICON HEIGHTS2,Silicon Oasis,IMG World Adventures,,,Studio,1,47.32,382014.0,8072.99,,,1.0,1.0,0.0,2016-10,10,Autumn
1-11-2014-12569,11,1,Sales,Sell,2014-05-12,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,IRIS BLUE,,,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,2 B/R,1,123.15,1599000.0,12984.17,,,1.0,1.0,0.0,2014-05,5,Spring
1-11-2014-6316,11,1,Sales,Sell,2014-03-05,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,X-12,,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Studio,0,43.0,450000.0,10465.12,,,1.0,1.0,0.0,2014-03,3,Spring
1-102-2023-33651,102,1,Sales,Sell - Pre registration,2023-07-17,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,390,Burj Khalifa,Vida Dubai Mall Tower 2,1898.0,Vida Dubai Mall,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,74.8,1800000.0,24064.17,,,2.0,1.0,0.0,2023-07,7,Summer
1-41-2021-5090,41,1,Sales,Delayed Sell,2021-06-14,1,Land,,,Residential,1,Existing Properties,435,Al Hebiah Fourth,,2221.0,Harmony,TILAL AL GHAF,,,,,0,448.27,3846000.0,8579.65,,,1.0,1.0,0.0,2021-06,6,Summer
2-190-2016-351,190,2,Mortgages,Delayed Mortgage,2016-10-06,4,Villa,,,Residential,1,Existing Properties,414,Al Barshaa South Second,,1526.0,Villa Lantana 1,Dubiotech,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,,0,368.54,2873500.0,7796.98,,,1.0,1.0,0.0,2016-10,10,Autumn
1-11-2022-9081,11,1,Sales,Sell,2022-04-27,3,Unit,60.0,Flat,Residential,1,Existing Properties,410,Palm Jumeirah,PALM VIEWS WEST,1317.0,PALM VIEWS - WEST,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,Studio,0,51.0,950000.0,18627.45,,,1.0,1.0,0.0,2022-04,4,Spring
1-41-2017-3363,41,1,Sales,Delayed Sell,2017-06-07,1,Land,,,Residential,1,Existing Properties,449,Al Yufrah 2,,1866.0,DAMAC HILLS (2) - AVENCIA-2 ,DAMAC HILLS 2,Dubai Cycling Course,,,,0,112.24,970000.0,8642.2,,,1.0,1.0,0.0,2017-06,6,Summer
1-102-2017-23746,102,1,Sales,Sell - Pre registration,2017-12-12,3,Unit,101.0,Hotel Apartment,Hospitality ,0,Off-Plan Properties,445,Jabal Ali First,AZIZI PLAZA,1789.0,Azizi Plaza Hotel Apartments,Al Furjan,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,Studio,1,35.83,538884.0,15040.01,,,1.0,1.0,0.0,2017-12,12,Winter
2-13-2023-9381,13,2,Mortgages,Mortgage Registration,2023-06-05,3,Unit,60.0,Flat,Residential,1,Existing Properties,462,Madinat Al Mataar,The Pulse Residence (B2),1805.0,The Pulse Residence,Dubai World Central,Expo 2020 Site,,,2 B/R,1,105.66,592000.0,5602.88,,,1.0,1.0,0.0,2023-06,6,Summer
1-110-2010-2806,110,1,Sales,Lease to Own Registration,2010-11-22,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Sadaf 7,,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,2 B/R,1,130.4,599000.0,4593.56,,,2.0,2.0,2.0,2010-11,11,Autumn
1-11-2014-20709,11,1,Sales,Sell,2014-09-08,3,Unit,42.0,Office,Commercial,1,Existing Properties,526,Business Bay,Bay Square - 11,1280.0,BAY SQUARE,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Office,1,221.76,2293000.0,10340.01,,,1.0,1.0,0.0,2014-09,9,Autumn
2-13-2014-511,13,2,Mortgages,Mortgage Registration,2014-01-21,3,Unit,42.0,Office,Commercial,1,Existing Properties,526,Business Bay,THE PRISM,589.0,THE PRISM,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Office,1,89.3,914900.0,10245.24,,,1.0,1.0,0.0,2014-01,1,Winter
1-41-2022-18163,41,1,Sales,Delayed Sell,2022-10-26,1,Land,,,Commercial,1,Existing Properties,445,Jabal Ali First,,2384.0,Jebel Ali Village Townhouses - Phase 2,Jabal Ali Village,,,,,0,252.0,2838800.0,11265.08,,,1.0,2.0,0.0,2022-10,10,Autumn
1-102-2022-9277,102,1,Sales,Sell - Pre registration,2022-04-06,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,371,Al Safouh Second,Cavalli Casa Tower,2283.0,CAVALLI CASA TOWER,TECOM Site A,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,260.53,11960000.0,45906.42,,,1.0,1.0,0.0,2022-04,4,Spring
1-11-2021-2375,11,1,Sales,Sell,2021-02-15,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,AL SEEF 2,48.0,AL SEEF II,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,2 B/R,1,182.65,1650000.0,9033.67,,,1.0,1.0,0.0,2021-02,2,Winter
2-13-2011-3729,13,2,Mortgages,Mortgage Registration,2011-07-07,4,Villa,,,Commercial,1,Existing Properties,484,Nadd Hessa,,,,Silicon Oasis,IMG World Adventures,,City Centre Mirdif,,0,393.91,1896964.0,4815.73,,,2.0,1.0,0.0,2011-07,7,Summer
1-11-2023-19711,11,1,Sales,Sell,2023-06-21,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,ELITE DOWNTOWN RESIDENCE,1403.0,ELITE DOWNTOWN RESIDENCE,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2 B/R,1,163.52,3088000.0,18884.54,,,1.0,1.0,0.0,2023-06,6,Summer
2-13-2016-4432,13,2,Mortgages,Mortgage Registration,2016-06-13,3,Unit,60.0,Flat,Residential,1,Existing Properties,410,Palm Jumeirah,GOLDEN MILE 6,388.0,GOLDEN MILE,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,3 B/R,1,503.26,3300000.0,6557.25,,,1.0,1.0,0.0,2016-06,6,Summer
1-851-2016-592,851,1,Sales,Development Registration Pre-Registration,2016-08-04,3,Unit,101.0,Hotel Apartment,Hospitality ,0,Off-Plan Properties,458,Dubai Investment Park First,I SUITES SMART RESIDENCE (O5),1567.0,DUBAI LAGOON I SUITES SMART RESIDENCE,Dubai Investment Park First,Expo 2020 Site,DANUBE Metro Station,Ibn-e-Battuta Mall,Studio,1,49.12,478494.0,9741.33,,,1.0,1.0,0.0,2016-08,8,Summer
1-102-2022-26310,102,1,Sales,Sell - Pre registration,2022-09-06,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,526,Business Bay,NOBLES,2208.0,NOBLES,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,77.15,1038044.0,13454.88,,,1.0,1.0,0.0,2022-09,9,Autumn
2-110-2010-1246,110,2,Mortgages,Lease to Own Registration,2010-06-14,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,MISKA 3,,,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,90.3,990310.0,10966.89,990310.0,10967.0,2.0,2.0,2.0,2010-06,6,Summer
2-13-2010-5656,13,2,Mortgages,Mortgage Registration,2010-10-25,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,DUBAI GATE ONE,407.0,NEW DUBAI GATE1,Jumeirah Lakes Towers,Burj Al Arab,Marina Mall Metro Station,Marina Mall,1 B/R,1,107.63,1995000.0,18535.72,,,1.0,1.0,0.0,2010-10,10,Autumn
1-11-2013-2254,11,1,Sales,Sell,2013-03-18,3,Unit,60.0,Flat,Residential,1,Existing Properties,451,Al Hebiah Fifth,AL THAMAM 12,975.0,REMRAAM,Remraam,Motor City,,,1 B/R,1,72.14,690048.0,9565.4,,,1.0,1.0,0.0,2013-03,3,Spring
1-102-2018-7926,102,1,Sales,Sell - Pre registration,2018-05-28,4,Villa,4.0,Villa,Residential,0,Off-Plan Properties,507,Al Yelayiss 2,,1936.0,NASEEM TOWNHOUSES,TOWN SQUARE,,,,3 B/R,0,187.92,1290888.0,6869.35,,,1.0,2.0,0.0,2018-05,5,Spring
2-13-2023-7711,13,2,Mortgages,Mortgage Registration,2023-05-19,3,Unit,60.0,Flat,Residential,1,Existing Properties,442,Al Barsha South Fifth,IMPERIAL RESIDENCE 1,210.0,IMPERIAL RESIDENCE,Jumeirah Village Triangle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,73.65,309720.0,4205.3,,,1.0,1.0,0.0,2023-05,5,Spring
2-13-2023-1424,13,2,Mortgages,Mortgage Registration,2023-01-27,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,GREEN LAKES S2,,,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,1 B/R,1,90.99,813200.0,8937.25,,,1.0,1.0,0.0,2023-01,1,Winter
1-11-2014-21671,11,1,Sales,Sell,2014-09-23,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,CLAREN TOWER 2,1275.0,CLAREN 1,Burj Khalifa,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1 B/R,1,69.12,1650000.0,23871.53,,,1.0,1.0,0.0,2014-09,9,Autumn
2-13-2010-1292,13,2,Mortgages,Mortgage Registration,2010-03-30,4,Villa,,,Commercial,1,Existing Properties,352,Al Thanayah Fourth,,,,Meadows 6,Sports City Swimming Academy,Damac Properties,Marina Mall,,0,540.05,3602103.0,6669.94,,,2.0,1.0,0.0,2010-03,3,Spring
